Repo   : tldr-pages/tldr
Período: histórico completo

Issues en período: 1788
PRs en período: 21596

Colaborador                Issues  I.Cerr    PRs  PR.Cerr  PR.Merge     SC
SomethingGeneric                0       0      1        0         1      2
ruben-tura                      0       0      1        0         1      2
ktonekaboni                     0       0      1        1         0      2
Rogacz                          0       0      1        0         1      2
winny-                          0       0      1        0         1      2
yashsrswat                      0       0      1        1         0      2
gearj                           0       0      1        0         1      2
adipopbv                        0       0      1        0         1      2
kavishgr                        0       0      1        1         0      2
iacs-csu-2020                   0       0      1        0         1      2
sesam                           0       0      1        0         1      2
hectormonacci                   0       0      1        1         0      2
flyxyz123                       0       0      1        0         1      2
alceballosa                     0       0      1        0         1      2
flyingfisch                     0       0      1        0         1      2
ricardokojo                     0       0      1        0         1      2
enniomara                       0       0      1        0         1      2
havocbane                       0       0      1        0         1      2
DhruvaKashyap                   0       0      1        0         1      2
taranvohra                      0       0      1        0         1      2
indigane                        0       0      1        0         1      2
kevlu8                          0       0      1        0         1      2
Juwana-Zerman                   0       0      1        0         1      2
jiwooshim                       0       0      1        0         1      2
frhcheck24                      0       0      1        0         1      2
darmiel                         0       0      1        0         1      2
MLpranav                        0       0      1        0         1      2
nella17                         0       0      1        0         1      2
amildahl                        0       0      1        0         1      2
KoljaTM                         0       0      1        0         1      2
jerryc05                        0       0      1        0         1      2
Reza-Ghz                        0       0      1        0         1      2
EgonMarmol                      0       0      1        0         1      2
erlendmoland                    0       0      1        0         1      2
AkechiShiro                     0       0      1        0         1      2
ja-he                           0       0      1        0         1      2
catarinaribaes                  0       0      1        1         0      2
wenz                            0       0      1        0         1      2
muhlinux                        0       0      1        1         0      2
41407                           0       0      1        0         1      2
kupasout                        0       0      1        0         1      2
AlexanderDavid                  0       0      1        0         1      2
franga2000                      0       0      1        0         1      2
Tani21                          0       0      1        0         1      2
3ncy                            0       0      1        0         1      2
GiorgiBeriashvili               0       0      1        0         1      2
yvan-sraka                      0       0      1        1         0      2
Sumindar                        0       0      1        0         1      2
matteo-briani                   0       0      1        0         1      2
dufferzafar                     0       0      1        0         1      2
kitarp29                        0       0      1        0         1      2
5HT2                            0       0      1        0         1      2
Arisa-Snowbell                  0       0      1        0         1      2
psyashes                        0       0      1        0         1      2
Pakku                           0       0      1        1         0      2
florianschanda                  0       0      1        1         0      2
MinmoTech                       0       0      1        0         1      2
mirinda123                      0       0      1        0         1      2
ZweiundzwanzigSiebtel           0       0      1        0         1      2
Dale-Muccignat                  0       0      1        0         1      2
silasvb                         0       0      1        0         1      2
luzeal                          0       0      1        0         1      2
cpetrella-sketch                0       0      1        0         1      2
rsnemmen                        0       0      1        0         1      2
dathide                         0       0      1        0         1      2
whispydev                       0       0      1        0         1      2
timphan92                       0       0      1        0         1      2
voidash                         0       0      1        0         1      2
elfehr                          0       0      1        0         1      2
asas1asas200                    0       0      1        0         1      2
rpdelaney                       0       0      1        0         1      2
zdy023                          0       0      1        0         1      2
gitsoft                         0       0      1        1         0      2
gcagle3                         0       0      1        0         1      2
HazemBZ                         0       0      1        0         1      2
misobarisic                     0       0      1        0         1      2
allandowney                     0       0      1        0         1      2
leo-arch                        0       0      1        0         1      2
deed02392                       0       0      1        0         1      2
Mastercuber                     0       0      1        0         1      2
fransnylund                     0       0      1        0         1      2
EastSun5566                     0       0      1        0         1      2
TripleTrable                    0       0      1        0         1      2
Pysis868                        0       0      1        0         1      2
kicanter                        0       0      1        1         0      2
The-Compiler                    0       0      1        0         1      2
stryaponoff                     0       0      1        0         1      2
Stijn-Bch                       0       0      1        0         1      2
larsdecker                      0       0      1        0         1      2
whitemuu                        0       0      1        0         1      2
olgashi                         0       0      1        0         1      2
Sinirlan                        0       0      1        1         0      2
baiyutang                       0       0      1        0         1      2
lauberv                         0       0      1        0         1      2
jwakely                         0       0      1        1         0      2
oshiteku                        0       0      1        0         1      2
michaelcale                     0       0      1        0         1      2
assawalhy                       0       0      1        0         1      2
Dzordzu                         0       0      1        0         1      2
danbulant                       0       0      1        1         0      2
xxchan                          0       0      1        0         1      2
yorhodes                        0       0      1        0         1      2
stautonico                      0       0      1        0         1      2
ElementalWarrior                0       0      1        1         0      2
rootremoval                     0       0      1        0         1      2
nicolae-stroncea                0       0      1        0         1      2
jriggins                        0       0      1        0         1      2
kirill-d-lappo                  0       0      1        0         1      2
dotnetCarpenter                 0       0      1        0         1      2
ChenfaZheng                     0       0      1        0         1      2
MirTITH                         0       0      1        0         1      2
alextreichler                   0       0      1        0         1      2
shawnbot                        0       0      1        0         1      2
nik-sm                          0       0      1        0         1      2
artemisart                      0       0      1        0         1      2
ebartels                        0       0      1        0         1      2
gitmpr                          0       0      1        0         1      2
bgbak                           0       0      1        0         1      2
xphade                          0       0      1        0         1      2
Abreto                          0       0      1        0         1      2
Liu233w                         0       0      1        0         1      2
augustebaum                     0       0      1        1         0      2
Pierre-Fournier83               0       0      1        0         1      2
juejun                          0       0      1        1         0      2
jamedranoa                      0       0      1        0         1      2
JonLevin25                      0       0      1        1         0      2
nikostr                         0       0      1        0         1      2
mencarellic                     0       0      1        0         1      2
dengshenkk                      0       0      1        1         0      2
Kalaiz                          0       0      1        0         1      2
srt0                            0       0      1        1         0      2
yanhuan0802                     0       0      1        0         1      2
alyxandraio                     0       0      1        0         1      2
cjc7373                         0       0      1        0         1      2
smyds                           0       0      1        0         1      2
schoenenberg                    0       0      1        1         0      2
me-v2                           0       0      1        1         0      2
adamoudad                       0       0      1        0         1      2
ishaanbhimwal                   0       0      1        0         1      2
leekuo                          0       0      1        0         1      2
medizinmensch                   0       0      1        0         1      2
flipsi                          0       0      1        0         1      2
Brannua                         0       0      1        1         0      2
Avenred                         0       0      1        0         1      2
GlassGruber                     0       0      1        1         0      2
MartinCura                      0       0      1        0         1      2
pawiromitchel                   0       0      1        1         0      2
Ciubix8513                      0       0      1        0         1      2
alexmailo                       0       0      1        0         1      2
shane-squatch                   0       0      1        1         0      2
izokina                         0       0      1        0         1      2
voxxit                          0       0      1        0         1      2
AriESQ                          0       0      1        0         1      2
alexandrehassan                 0       0      1        0         1      2
samtay                          0       0      1        0         1      2
leonfeng                        0       0      1        0         1      2
andre-santos-fd                 0       0      1        0         1      2
luis-saes                       0       0      1        0         1      2
Codecritics                     0       0      1        0         1      2
yl4869                          0       0      1        0         1      2
gerardsimons                    0       0      1        0         1      2
guillaumeboehm                  0       0      1        0         1      2
JPvRiel                         0       0      1        0         1      2
graves501                       0       0      1        0         1      2
SuskeDoesStuff                  0       0      1        0         1      2
F-Sossi                         0       0      1        0         1      2
narula2000                      0       0      1        0         1      2
a-viv-a                         0       0      1        0         1      2
blakehawkins                    0       0      1        0         1      2
maanisim                        0       0      1        0         1      2
sashashura                      0       0      1        0         1      2
lonsty                          0       0      1        0         1      2
titouan-joseph                  0       0      1        0         1      2
MasterIceZ                      0       0      1        0         1      2
leomotors                       0       0      1        0         1      2
reiniiriarios                   0       0      1        0         1      2
tales-aparecida                 0       0      1        0         1      2
Aphrodicez                      0       0      1        0         1      2
GallowsDove                     0       0      1        0         1      2
JCarlosR                        0       0      1        0         1      2
subhash-iiitm                   0       0      1        0         1      2
CAG07                           0       0      1        0         1      2
gebleksengek                    0       0      1        0         1      2
prateeknischal                  0       0      1        0         1      2
yuregsf                         0       0      1        0         1      2
marcelbrode                     0       0      1        0         1      2
tlevison                        0       0      1        1         0      2
amincheloh                      0       0      1        0         1      2
ZickZakk                        0       0      1        0         1      2
oliver-brandt                   0       0      1        1         0      2
fcrespo82                       0       0      1        0         1      2
FearTheBadger                   0       0      1        0         1      2
tocalai                         0       0      1        1         0      2
allesklardy                     0       0      1        0         1      2
punparin                        0       0      1        0         1      2
kwkeefer                        0       0      1        0         1      2
zyudneko                        0       0      1        0         1      2
akashtjohn                      0       0      1        0         1      2
KKWANH                          0       0      1        0         1      2
jiyeonseo                       0       0      1        0         1      2
althafpt                        0       0      1        0         1      2
p8sss                           0       0      1        0         1      2
pruekk                          0       0      1        0         1      2
piromsurang                     0       0      1        0         1      2
Msninmx                         0       0      1        0         1      2
drakulavich                     0       0      1        0         1      2
joao-conde                      0       0      1        0         1      2
aquelemiguel                    0       0      1        0         1      2
ec-026                          0       0      1        0         1      2
Juane99                         0       0      1        0         1      2
siph                            0       0      1        0         1      2
ZeroDayOwl                      0       0      1        1         0      2
jlosito                         0       0      1        0         1      2
advy99                          0       0      1        0         1      2
jhueppauff                      0       0      1        0         1      2
Alexmnzlms                      0       0      1        0         1      2
nfsec                           0       0      1        0         1      2
mpiasecki1                      0       0      1        0         1      2
siikanen                        0       0      1        1         0      2
BSGalvan                        0       0      1        0         1      2
SarojWasti                      0       0      1        0         1      2
KMohZaid                        0       0      1        0         1      2
PudinDeveloper                  0       0      1        1         0      2
ndrohith09                      0       0      1        0         1      2
erickleon88                     0       0      1        0         1      2
DeMuu                           0       0      1        0         1      2
dude-with-the-long-username       0       0      1        0         1      2
amino47                         0       0      1        0         1      2
BlazOrazem                      0       0      1        0         1      2
rajatmohan22                    0       0      1        0         1      2
GingerKiwi                      0       0      1        0         1      2
mattdutson                      0       0      1        0         1      2
i-penr                          0       0      1        0         1      2
0foxes                          0       0      1        0         1      2
ap-ch                           0       0      1        0         1      2
cardoso42                       0       0      1        0         1      2
pauloguilhermepp                0       0      1        0         1      2
OctavioFurio                    0       0      1        0         1      2
extend1994                      0       0      1        0         1      2
ni-ui                           0       0      1        0         1      2
ire4ever1190                    0       0      1        0         1      2
kotoko                          0       0      1        0         1      2
MNandor                         0       0      1        0         1      2
AzadAnsari35                    0       0      1        0         1      2
suhanigarg29                    0       0      1        0         1      2
kazoni                          0       0      1        0         1      2
47Cid                           0       0      1        0         1      2
sandy3002                       0       0      1        1         0      2
acass91                         0       0      1        0         1      2
lephuhai                        0       0      1        0         1      2
gstamatelat                     0       0      1        0         1      2
skykanin                        0       0      1        0         1      2
PeterJRiches                    0       0      1        0         1      2
pablomalo                       0       0      1        0         1      2
acid-bong                       0       0      1        0         1      2
oytv                            0       0      1        0         1      2
Julian88Tex                     0       0      1        1         0      2
BasicAcid                       0       0      1        0         1      2
tangowithfoxtrot                0       0      1        0         1      2
Sunt-ing                        0       0      1        1         0      2
n8x0b7T                         0       0      1        0         1      2
yudady01                        0       0      1        0         1      2
harleyjwilson                   0       0      1        0         1      2
clementi                        0       0      1        0         1      2
rem-lag                         0       0      1        0         1      2
imdouyu                         0       0      1        0         1      2
jparrill                        0       0      1        0         1      2
v-sastry                        0       0      1        1         0      2
marekkowalczyk                  0       0      1        0         1      2
FMakosza                        0       0      1        0         1      2
selfint                         0       0      1        0         1      2
martincalvert                   0       0      1        0         1      2
billwanjohi                     0       0      1        0         1      2
yenaras                         0       0      1        0         1      2
SunPodder                       0       0      1        0         1      2
AndrewSmithDev                  0       0      1        0         1      2
sputnick-dev                    0       0      1        0         1      2
DUOLabs333                      0       0      1        0         1      2
abelcha                         0       0      1        1         0      2
harizzms                        0       0      1        0         1      2
DheerajSharma404                0       0      1        1         0      2
dylancdavis                     0       0      1        0         1      2
g2g                             0       0      1        0         1      2
DevMan01                        0       0      1        0         1      2
EQuincerot                      0       0      1        0         1      2
jordan-chalupka                 0       0      1        0         1      2
josephineHonore                 0       0      1        0         1      2
maria-hagedorn                  0       0      1        1         0      2
lnkkerst                        0       0      1        0         1      2
isaak-pdm                       0       0      1        0         1      2
bataliero                       0       0      1        0         1      2
Gingeh                          0       0      1        0         1      2
RaviRahar                       0       0      1        0         1      2
Carltoffel                      0       0      1        0         1      2
jpetot                          0       0      1        0         1      2
IngridMorstrad                  0       0      1        0         1      2
suninsky                        0       0      1        0         1      2
cipherdragon                    0       0      1        0         1      2
KenanHanke                      0       0      1        0         1      2
0xc0rvu5                        0       0      1        0         1      2
chetan0402                      0       0      1        0         1      2
pvidas                          0       0      1        0         1      2
metiulekm                       0       0      1        0         1      2
giovannipcarvalho               0       0      1        0         1      2
vanillajonathan                 0       0      1        0         1      2
seratym                         0       0      1        0         1      2
andrewonyango                   0       0      1        0         1      2
codeZeilen                      0       0      1        0         1      2
oliviaBahr                      0       0      1        1         0      2
OrenKohavi                      0       0      1        1         0      2
balsoft                         0       0      1        0         1      2
ChloeLeitch                     0       0      1        0         1      2
mSamiolo                        0       0      1        0         1      2
A-atmos                         0       0      1        0         1      2
laurenszlosek                   0       0      1        0         1      2
elderica                        0       0      1        0         1      2
kypkk                           0       0      1        0         1      2
jackyliu16                      0       0      1        0         1      2
DavidPeet8                      0       0      1        0         1      2
imcouto                         0       0      1        0         1      2
kj415j45                        0       0      1        0         1      2
Spindyckx                       0       0      1        1         0      2
mjocc                           0       0      1        0         1      2
bobby-palmer                    0       0      1        0         1      2
asandikci                       0       0      1        0         1      2
Moritz921                       0       0      1        0         1      2
MicaelMCarvalho                 0       0      1        0         1      2
carlosvigil                     0       0      1        0         1      2
GannonTdW                       0       0      1        1         0      2
DanielApt                       0       0      1        0         1      2
wybert                          0       0      1        0         1      2
AlexisHamon                     0       0      1        0         1      2
adriens                         0       0      1        0         1      2
tku137                          0       0      1        0         1      2
effendiian                      0       0      1        0         1      2
jy-r                            0       0      1        1         0      2
thilob                          0       0      1        1         0      2
mackncheesiest                  0       0      1        0         1      2
Slackadays                      0       0      1        0         1      2
ShellTux                        0       0      1        0         1      2
munntjlx                        0       0      1        0         1      2
vuchkan                         0       0      1        0         1      2
yunanwg                         0       0      1        0         1      2
h7x4                            0       0      1        0         1      2
Daniel451                       0       0      1        0         1      2
levid0s                         0       0      1        1         0      2
seadanda                        0       0      1        0         1      2
ZachEngstrom                    0       0      1        0         1      2
serjepatoff                     0       0      1        0         1      2
aoi-hiraeth                     0       0      1        0         1      2
matthiasschaub                  0       0      1        0         1      2
sMtzDczDq                       0       0      1        0         1      2
jeff-hykin                      0       0      1        1         0      2
JxBP                            0       0      1        0         1      2
barraponto                      0       0      1        0         1      2
pgneogeo                        0       0      1        0         1      2
omahs                           0       0      1        0         1      2
Randname666                     0       0      1        0         1      2
franciosi                       0       0      1        0         1      2
879hun675tgfoO098               0       0      1        0         1      2
Coriakin                        0       0      1        0         1      2
not-reed                        0       0      1        0         1      2
johnybradshaw                   0       0      1        0         1      2
TheJimmyNowak                   0       0      1        0         1      2
NethumL                         0       0      1        0         1      2
mag4no10                        0       0      1        0         1      2
TheUnknownHack3r                0       0      1        1         0      2
Matthieu-LAURENT39              0       0      1        0         1      2
sdball                          0       0      1        0         1      2
kadang                          0       0      1        0         1      2
itsmicaio                       0       0      1        0         1      2
MightyM17                       0       0      1        0         1      2
dyegoaurelio                    0       0      1        0         1      2
hsicilia                        0       0      1        0         1      2
iagor1                          0       0      1        0         1      2
aditikharel                     0       0      1        0         1      2
arthurzeras                     0       0      1        0         1      2
ScriptJunky                     0       0      1        1         0      2
leenate                         0       0      1        0         1      2
alexanderNWO                    0       0      1        0         1      2
Tylerastro                      0       0      1        0         1      2
mrsOwlex                        0       0      1        0         1      2
TimGoldbach                     0       0      1        1         0      2
Eclipzze                        0       0      1        0         1      2
kicka5h                         0       0      1        0         1      2
AaryaZ                          0       0      1        0         1      2
luhavis                         0       0      1        0         1      2
ethanbarry                      0       0      1        0         1      2
WillOfHeaven                    0       0      1        0         1      2
BS14                            0       0      1        0         1      2
darkstar                        0       0      1        0         1      2
rajveer43                       0       0      1        0         1      2
Njoselson                       0       0      1        0         1      2
RedDeliciousApples              0       0      1        0         1      2
Vishnudas2003                   0       0      1        0         1      2
alkmst-xyz                      0       0      1        0         1      2
kavita02-ctrl                   0       0      1        0         1      2
davidzr                         0       0      1        0         1      2
Graywolf9                       0       0      1        0         1      2
xuzhangheng                     0       0      1        0         1      2
spandan0724                     0       0      1        1         0      2
Wertzui123                      0       0      1        0         1      2
CheesyChocolate                 0       0      1        0         1      2
Seppel3210                      0       0      1        0         1      2
Qwerty-Space                    0       0      1        0         1      2
s-waite                         0       0      1        0         1      2
nkzren                          0       0      1        0         1      2
armanatory                      0       0      1        0         1      2
Jeremy-Aza                      0       0      1        0         1      2
iamanurag101                    0       0      1        0         1      2
eternityduck                    0       0      1        0         1      2
ebrulf                          0       0      1        0         1      2
HCAHOI                          0       0      1        0         1      2
itdevwu                         0       0      1        0         1      2
owenowenisme                    0       0      1        0         1      2
LaNataliaaa                     0       0      1        0         1      2
Siriusmart                      0       0      1        0         1      2
marcelmanz                      0       0      1        0         1      2
ioannis-vm                      0       0      1        0         1      2
0xAJC                           0       0      1        0         1      2
Rigonkmalk                      0       0      1        0         1      2
mbsmith                         0       0      1        0         1      2
nazdridoy                       0       0      1        0         1      2
ana-aguilar7                    0       0      1        0         1      2
ovigeek                         0       0      1        0         1      2
leoTlr                          0       0      1        0         1      2
mark2185                        0       0      1        0         1      2
ilyam8                          0       0      1        0         1      2
Muralikrishnan5971              0       0      1        0         1      2
sanjinso                        0       0      1        0         1      2
HOIg3r                          0       0      1        0         1      2
FarhadK2022                     0       0      1        0         1      2
weihangzheng                    0       0      1        0         1      2
Ren-Ma                          0       0      1        0         1      2
OrginalS                        0       0      1        0         1      2
Rcanete26                       0       0      1        0         1      2
ggliv                           0       0      1        0         1      2
Lambert-Rao                     0       0      1        0         1      2
adiesner                        0       0      1        0         1      2
Belousovnm                      0       0      1        0         1      2
eh8                             0       0      1        0         1      2
jaythomas                       0       0      1        0         1      2
drc                             0       0      1        0         1      2
TAKE72K                         0       0      1        0         1      2
steelswords                     0       0      1        0         1      2
taskinen                        0       0      1        0         1      2
tapyu                           0       0      1        0         1      2
sandhilt                        0       0      1        0         1      2
CR4SH3UR                        0       0      1        0         1      2
velox0                          0       0      1        0         1      2
dfischer                        0       0      1        0         1      2
maslo-sh                        0       0      1        0         1      2
irekahsila                      0       0      1        0         1      2
jameslear314                    0       0      1        0         1      2
firmmaple                       0       0      1        0         1      2
johannesjahn                    0       0      1        0         1      2
DGC75                           0       0      1        0         1      2
ejsadiarin                      0       0      1        0         1      2
Beriholic                       0       0      1        0         1      2
htaketani                       0       0      1        0         1      2
cbr4l0k                         0       0      1        0         1      2
TheodoreEhrenborg               0       0      1        0         1      2
Berberine                       0       0      1        0         1      2
movoid12                        0       0      1        0         1      2
styffnn-oldacc                  0       0      1        0         1      2
ekm507                          0       0      1        0         1      2
davidbtadokoro                  0       0      1        0         1      2
standstaff                      0       0      1        0         1      2
emiara                          0       0      1        0         1      2
arcanemachine                   0       0      1        0         1      2
realFranco                      0       0      1        0         1      2
kfatyuip                        0       0      1        0         1      2
JohaFreu                        0       0      1        0         1      2
Mr-Andersen                     0       0      1        0         1      2
vicsar                          0       0      1        0         1      2
cdlm                            0       0      1        0         1      2
sophia-behling                  0       0      1        0         1      2
TheFibonacciEffect              0       0      1        0         1      2
sjkelly                         0       0      1        0         1      2
marcelruland                    0       0      1        0         1      2
lilpacy                         0       0      1        0         1      2
FlorianSchwarzl                 0       0      1        0         1      2
azthec                          0       0      1        0         1      2
gwennlbh                        0       0      1        0         1      2
saliaku                         0       0      1        0         1      2
meator                          0       0      1        0         1      2
lucifayr                        0       0      1        0         1      2
sureshjoshi                     0       0      1        0         1      2
abuturabofficial                0       0      1        1         0      2
kamurani                        0       0      1        0         1      2
Shensen1                        0       0      1        0         1      2
phenolophthaleinum              0       0      1        0         1      2
breunigs                        0       0      1        0         1      2
egretwAlker                     0       0      1        0         1      2
eshedruf                        0       0      1        0         1      2
erinszabo                       0       0      1        0         1      2
adamshand                       0       0      1        0         1      2
hasicx                          0       0      1        0         1      2
Coder-Harshit                   0       0      1        0         1      2
jee-mj                          0       0      1        0         1      2
lsomm                           0       0      1        0         1      2
kenshaw                         0       0      1        0         1      2
pro-utkarshM                    0       0      1        0         1      2
misterhackerman                 0       0      1        0         1      2
mikeakers                       0       0      1        1         0      2
LolSayna                        0       0      1        0         1      2
Ankit3019                       0       0      1        0         1      2
mbhall88                        0       0      1        0         1      2
macownersclub                   0       0      1        0         1      2
CJacob314                       0       0      1        0         1      2
socksy                          0       0      1        0         1      2
floriankuek                     0       0      1        0         1      2
Barry1                          0       0      1        0         1      2
am-derrick                      0       0      1        0         1      2
doronz88                        0       0      1        1         0      2
theKnightsOfRohan               0       0      1        0         1      2
abhishek-agrl                   0       0      1        0         1      2
GinOwO                          0       0      1        0         1      2
jackjduggan                     0       0      1        0         1      2
LaurentFough                    0       0      1        0         1      2
sermelipharo                    0       0      1        0         1      2
rubbermetal                     0       0      1        0         1      2
timothymcmackin                 0       0      1        0         1      2
jordanlambrecht                 0       0      1        0         1      2
thewolmer                       0       0      1        0         1      2
cloudwithdan                    0       0      1        0         1      2
DrMaxNix                        0       0      1        0         1      2
Murilo-fab                      0       0      1        0         1      2
mofosyne                        0       0      1        0         1      2
antznin                         0       0      1        0         1      2
matthias-kuklinski              0       0      1        0         1      2
Ma-hawaj                        0       0      1        0         1      2
KaranRaval555                   0       0      1        1         0      2
pranavmangal                    0       0      1        0         1      2
markparonyan                    0       0      1        1         0      2
azizsayfiddin                   0       0      1        0         1      2
MANICX100                       0       0      1        0         1      2
CreativeCodeCat                 0       0      1        0         1      2
listsarah                       0       0      1        0         1      2
bom-d-van                       0       0      1        1         0      2
Gabrinator                      0       0      1        0         1      2
MuhammadAly11                   0       0      1        0         1      2
pascal-brand38                  0       0      1        0         1      2
SEvans85                        0       0      1        0         1      2
kovacs-andras                   0       0      1        0         1      2
ArnaudKunzi                     0       0      1        0         1      2
PMLefra                         0       0      1        1         0      2
AntonFriberg                    0       0      1        0         1      2
gophlet                         0       0      1        0         1      2
mage39                          0       0      1        0         1      2
UnknownSuperficialNight         0       0      1        0         1      2
wtflm                           0       0      1        0         1      2
TrisSherliker                   0       0      1        0         1      2
ElnurBDa                        0       0      1        0         1      2
aclough                         0       0      1        0         1      2
be4zad                          0       0      1        0         1      2
bregwin                         0       0      1        0         1      2
knqti                           0       0      1        0         1      2
kirilswenson                    0       0      1        0         1      2
Arnav-2004                      0       0      1        0         1      2
HorizonChaser                   0       0      1        0         1      2
servusdei2018                   0       0      1        0         1      2
SuzannaWentzel                  0       0      1        0         1      2
phantompunk                     0       0      1        0         1      2
maybeetree                      0       0      1        0         1      2
trouyer                         0       0      1        0         1      2
pete3n                          0       0      1        0         1      2
Elsie19                         0       0      1        0         1      2
mayank-Pareek                   0       0      1        0         1      2
shxntanu                        0       0      1        0         1      2
BastiDood                       0       0      1        0         1      2
Anjellyrika                     0       0      1        0         1      2
azriel-stephen                  0       0      1        0         1      2
oneWalker                       0       0      1        0         1      2
Sponsoredby                     0       0      1        0         1      2
ryuheechul                      0       0      1        0         1      2
hadeer-r                        0       0      1        0         1      2
yateff                          0       0      1        1         0      2
SirMonteiro                     0       0      1        0         1      2
vribeir0                        0       0      1        0         1      2
Flopsey                         0       0      1        0         1      2
Tzal3x                          0       0      1        0         1      2
luna029                         0       0      1        0         1      2
samcodee                        0       0      1        1         0      2
Tonda39                         0       0      1        0         1      2
piedroconti                     0       0      1        0         1      2
joweich                         0       0      1        0         1      2
LovelyWei                       0       0      1        0         1      2
DreamAlone666                   0       0      1        0         1      2
jshumphrey                      0       0      1        0         1      2
mitchplze                       0       0      1        0         1      2
C4N-6                           0       0      1        0         1      2
Kauzge                          0       0      1        0         1      2
tulilirockz                     0       0      1        0         1      2
martinhoyer                     0       0      1        0         1      2
jpnadas                         0       0      1        0         1      2
victorhtl                       0       0      1        0         1      2
mjherich                        0       0      1        0         1      2
MQ-06                           0       0      1        1         0      2
idorax                          0       0      1        0         1      2
