Repo   : tldr-pages/tldr
Período: histórico completo
Commits descargados: 23361

=== POR PRODUCTO ===
ANMCC (Avg Modified Components per Commit): 5.14

=== POR PERSONA ===
Colaborador                    ANMCC
----------------------------------------
nuno-agostinho                 1.33
moisesnandres                  1.33
monsieurlo                     1.33
cam8001                        1.33
alex0112                       1.33
maxbeier                       1.33
eddieantonio                   1.33
jeanlucaslima                  1.33
meetwudi                       1.33
CleanMachine1                  1.32
Rudloff                        1.32
aherst                         1.32
apraditya                      1.31
Schneider                      1.31
slash3b                        1.3
pradeept                       1.29
xeruf                          1.29
ikks                           1.29
renner0e                       1.29
shermanhui                     1.29
TheLastGimbus                  1.29
juan88                         1.29
suyashbhawsar                  1.28
fanfly                         1.27
gonejack                       1.27
MasterOdin                     1.26
Azrael JD                      1.26
TheRootDaemon                  1.25
owenvoke                       1.25
BeLi4L                         1.25
vp007-dev                      1.25
o0nd7ots                       1.25
sylvestre                      1.25
korECM                         1.25
Jueun-Park                     1.25
Kisielos10                     1.25
ecrax                          1.25
Henrique Borges                1.25
JakobMiksch                    1.25
0xf0xx0                        1.25
phoffmeister                   1.25
theodorusclarence              1.25
siavashsoleymani               1.25
andoniaf                       1.25
Hyftar                         1.25
tcode2k16                      1.25
Like-all                       1.25
Lodifice                       1.23
martinblume                    1.22
samuel-w                       1.22
Dev7g                          1.22
mcombeau                       1.22
sanopy                         1.22
deekim                         1.22
leostera                       1.22
AnirudhG07                     1.2
DarkMatter-999                 1.2
canonnizq                      1.2
marcos-aparicio                1.2
aditya955                      1.2
hamexhanif                     1.2
yuiseki                        1.2
marciska                       1.2
sdahlbac                       1.2
JeroenKnoops                   1.2
mehmetmalli                    1.2
gfda                           1.2
melgu                          1.2
Seth Woodworth                 1.2
vanvuvuong                     1.18
peterbabic                     1.17
SaiTeja-002                    1.17
Abhishek-1804                  1.17
micschwarz                     1.17
AbdeltwabMF                    1.17
mfrw                           1.16
crispyfires                    1.15
Dahie                          1.15
sapbotgit                      1.14
Waples                         1.14
hellojukay                     1.14
pg99696                        1.14
uh-zz                          1.14
HTsuyoshi                      1.14
superatomic                    1.14
jonlabelle                     1.14
pranlawate                     1.13
danny-den                      1.12
seenukarthi                    1.12
J053Fabi0                      1.12
Bucke200                       1.11
RH-sdavey                      1.11
ericbn                         1.11
ivanhercaz                     1.11
Rolv-Apneseth                  1.1
jay-tau                        1.1
jeeftor                        1.1
lukbukkit                      1.09
norangebit                     1.09
fluxw42                        1.09
bergentroll                    1.08
marianapcorrea                 1.08
msaf9                          1.07
Calinou                        1.07
aminelch                       1.06
leonvsc                        1.06
johandegn                      1.06
D34DPlayer                     1.06
zhb4                           1.05
karthik-script                 1.05
fuerbringer                    1.05
ali90h                         1.04
hezhizhen                      1.04
hayleox                        1.04
Aracki                         1.03
kant                           1.02
CodingAlphaWolf                1.0
xirzo                          1.0
SimonSwopes                    1.0
Gauravtiwari31                 1.0
aftix                          1.0
nkilm                          1.0
jxu                            1.0
Abusalah0                      1.0
david2000hun1                  1.0
Prodeguerriero                 1.0
RETEX-SOFTWARE                 1.0
Alex Chen                      1.0
d8uv                           1.0
markcunninghamgit              1.0
cannedbeef                     1.0
AgnetaGavrielov                1.0
banana-bred                    1.0
Malik740                       1.0
fullstacksam23                 1.0
gastrodon                      1.0
moonbeamexpress                1.0
fkobi                          1.0
ideal                          1.0
shreyanth-sureshkrishnaa       1.0
AnshikaBisht1202               1.0
brunoborges                    1.0
vkenyaz                        1.0
JulianGStudium                 1.0
hoshF                          1.0
peterjpxie                     1.0
Mezanur007                     1.0
sarah3bb                       1.0
hogan-yuan                     1.0
eyalb181                       1.0
RakhimovRamis                  1.0
SuperL-2233                    1.0
yihuang0830                    1.0
purple6201                     1.0
Esther-ww                      1.0
leonanan                       1.0
mateofz                        1.0
panacotar                      1.0
zakky8                         1.0
Ayushmann13479                 1.0
yahyakhan1999                  1.0
Act0r1                         1.0
H-bq                           1.0
Aruisop                        1.0
fbreitwieser                   1.0
spiritualhost                  1.0
just-barcodes                  1.0
LuckJMG                        1.0
jonesy-b-dev                   1.0
prashantrahul141               1.0
mariamanbar                    1.0
AhmadAL-Quraan                 1.0
naouts                         1.0
Ti-03                          1.0
r-menezes                      1.0
AlvinGeorge-AG                 1.0
zjrcn2016-lang                 1.0
Bob Put                        1.0
Piratebird                     1.0
sukanyashete                   1.0
rfmoz                          1.0
m4halic3                       1.0
PoladianDev                    1.0
AlexandrosPal                  1.0
ofersadan85                    1.0
harrywzl                       1.0
daniel-fahl                    1.0
Dyo-nisos                      1.0
farzad1120                     1.0
rafsasinski                    1.0
MOSapeizer                     1.0
Afra0704                       1.0
cptfinch                       1.0
jeetjawale                     1.0
23f3001101                     1.0
hidetzu                        1.0
YifanRuan                      1.0
Ivan1248                       1.0
24f1000749                     1.0
veenoise                       1.0
vatsalrc                       1.0
Aelthorim                      1.0
GeoMinesGold                   1.0
WillardFord                    1.0
CodingTC                       1.0
nexnc                          1.0
DrakeCoding                    1.0
Aiphru                         1.0
zyzzyxdonta                    1.0
cerebrate                      1.0
SibtainOcn                     1.0
satteomama                     1.0
Alfenstein8                    1.0
umutKaracelebi                 1.0
gabriel7419                    1.0
cdhnr                          1.0
yzoug                          1.0
aakanksha-arun                 1.0
