Archivos a analizar: 35766

=== POR PRODUCTO ===
CD (Comment Density): 0.0005  (ref. NASA optimo ~0.15)
  Total CLOC : 183
  Total LLOC : 337412
  Archivos   : 35766

=== POR PERSONA ===
Colaborador                           CLOC     LLOC       CD
Harikrishna C                            0       65      0.0
Sahil Dhiman                             0       37      0.0
Cyrus Yip                                0       11      0.0
Myroslav Repin                           0       16      0.0
Shelly David                             0      350      0.0
Praveen Kumar                            0       36      0.0
Sainjargal Ishdorj                       0       64      0.0
Rolv Apneseth                            0       32      0.0
Poy Chang                                0       26      0.0
sighrelief                               0       30      0.0
Kyle Mohr                                0       49      0.0
Suraj Devatha                            0       12      0.0
Godwin Iheuwa                            0       79      0.0
Sohang Chopra                            0       34      0.0
Nazar K. Poladian                        0       38      0.0
Alessandro Chitarrini                    0      157      0.0
Peter Babič                              0       45      0.0
FantasyCookie17                          0       13      0.0
ramadasmr                                0       56      0.0
Owen Voke                                0      113      0.0
dz-at-tc                                 0       12      0.0
debghs                                   0        7      0.0
Suryansh Pal                             0       32      0.0
dwalex                                   0       56      0.0
elfehr                                   0       17      0.0
Adrian Pop                               0       11      0.0
kekwlboy12469                            0      112      0.0
24f1000749                               0       39      0.0
Daniel Fahl                              0       42      0.0
William Underwood                        0        9      0.0
Gin                                      0       52      0.0
Pierre Rudloff                           0       49      0.0
Jack Lin                                 0       23      0.0
shanegeorge7                             0       37      0.0
David Lazarevic                          0       88      0.0
Varnika Sinha                            0       43      0.0
Ivan                                     0      377      0.0
crispyfires                              0      194      0.0
Brook                                    0       65      0.0
Miles Glapa-Grossklag                    0       32      0.0
Martin Blume                             0        4      0.0
JanviNandre                              0       57      0.0
aminelch                                 0       20      0.0
Janek                                    0       14      0.0
Swasti Mishra                            0       67      0.0
Johannes                                 0        4      0.0
Clathweppes                              0        7      0.0
sumit-8305                               0       13      0.0
TornaxO7                                 0        7      0.0
Alexx                                    0        4      0.0
Ahamed_Meyan                             0       24      0.0
Johan Degn                               0       32      0.0
Rinas                                    0       57      0.0
Yifan Ruan                               0       16      0.0
Kabiir Krishna                           0       84      0.0
depgod                                   0       68      0.0
Christoph                                0       61      0.0
sapbotgit                                0       52      0.0
dyegoaurelio                             0       11      0.0
Gavin Douch                              0       13      0.0
tango8                                   0       15      0.0
xxchan                                   0       11      0.0
Wolmer                                   0       39      0.0
Huy Nguyen                               0       19      0.0
roundedrectangle                         0       27      0.0
Aditya Gaurav                            0       16      0.0
Starbeamrainbowlabs                      0        7      0.0
Raul Piraces Alastuey                    0       39      0.0
Sadeed                                   0       91      0.0
Nguyễn Đức Chiến                         0       12      0.0
Juri                                     0       42      0.0
Stefan Herpich                           0        5      0.0
Fabio Perrella                           0       74      0.0
wangme88                                 0        7      0.0
Hahihula                                 0       19      0.0
Yassine Zouggari                         0       14      0.0
Robin Gower                              0       15      0.0
alison                                   0       35      0.0
John Haugabook                           0       40      0.0
Mohit Agarwal                            0        5      0.0
